Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=31 +define+BENCHMARK=0 -I/home/ethan/Arch-Table/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++11 -static -Wall -I/home/ethan/Arch-Table/difftest/src/test/csrc -I/home/ethan/Arch-Table/difftest/src/test/csrc/common -I/home/ethan/Arch-Table/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/ethan/Arch-Table/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/ref.v /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/vcs/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/emu.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/snapshot.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp
  Stage, Memory (MB), 038_name                        10.910156
  Stage, Memory (MB), 039_unroll                      10.910156
  Stage, Memory (MB), 040_slice                       10.910156
  Stage, Memory (MB), 041_const                       10.910156
  Stage, Memory (MB), 042_life                        10.910156
  Stage, Memory (MB), 043_table                       10.910156
  Stage, Memory (MB), 044_const                       10.910156
  Stage, Memory (MB), 045_deadDtypesScoped            10.910156
  Stage, Memory (MB), 046_active                      10.910156
  Stage, Memory (MB), 047_split                       10.910156
  Stage, Memory (MB), 048_splitas                     10.910156
  Stage, Memory (MB), 049_tracedecl                   10.910156
  Stage, Memory (MB), 050_gate                        10.910156
  Stage, Memory (MB), 051_const                       10.910156
  Stage, Memory (MB), 052_deadAllScoped               10.910156
  Stage, Memory (MB), 053_reorder                     10.910156
  Stage, Memory (MB), 054_delayed                     10.910156
  Stage, Memory (MB), 055_activetop                   10.910156
  Stage, Memory (MB), 056_order                       10.910156
  Stage, Memory (MB), 057_genclk                      10.910156
  Stage, Memory (MB), 058_clock                       10.910156
  Stage, Memory (MB), 059_const                       10.910156
  Stage, Memory (MB), 060_life                        10.910156
  Stage, Memory (MB), 061_life_post                   10.910156
  Stage, Memory (MB), 062_const                       10.910156
  Stage, Memory (MB), 063_deadAllScoped               10.910156
  Stage, Memory (MB), 064_changed                     10.910156
  Stage, Memory (MB), 065_trace                       10.910156
  Stage, Memory (MB), 066_localize                    10.910156
  Stage, Memory (MB), 067_descope                     10.910156
  Stage, Memory (MB), 068_combine                     10.910156
  Stage, Memory (MB), 069_const                       10.910156
  Stage, Memory (MB), 070_deadAll                     10.910156
  Stage, Memory (MB), 071_clean                       10.910156
  Stage, Memory (MB), 072_premit                      10.910156
  Stage, Memory (MB), 073_expand                      18.000000
  Stage, Memory (MB), 074_const_cpp                   18.000000
  Stage, Memory (MB), 075_subst                       19.031250
  Stage, Memory (MB), 076_const_cpp                   19.031250
  Stage, Memory (MB), 077_deadAll                     19.031250
  Stage, Memory (MB), 078_merge_cond                  19.031250
  Stage, Memory (MB), 079_reloop                      19.031250
  Stage, Memory (MB), 080_depth                       19.031250
  Stage, Memory (MB), 081_cast                        19.031250
  Stage, Memory (MB), 082_cuse                        19.031250

Stage Statistics:
  Stat                                                      Link       PreOrder   Scoped     Final      Final_Fast
  --------                                                  -------    -------    -------    -------    -------  

  Branch prediction,                                             54         68         71         62         19
  Branch prediction, VL_UNLIKELY                                                        3         19          1

  Instruction count, TOTAL                                     5038     105996     106990     131944      23001
  Instruction count, fast critical                                0      18294      40473      55620      22935

  Node count, ACTIVE                                                        26
  Node count, ADD                                                22         42         37         77         26
  Node count, ADDROFCFUNC                                                               3          3
  Node count, ALWAYS                                             39         38
  Node count, AND                                                10         25         23        802        246
  Node count, ARG                                               235
  Node count, ARRAYSEL                                                     106        122        186         70
  Node count, ASSIGN                                            115        122        135        454        175
  Node count, ASSIGNDLY                                          52         55         55         50         17
  Node count, ASSIGNPOST                                                    21         12         11         11
  Node count, ASSIGNPRE                                                     21         12         11         11
  Node count, ASSIGNW                                            85         34         34         10          5
  Node count, ATTROF                                             91
  Node count, BASICDTYPE                                        745        101        101         78
  Node count, BEGIN                                              92
  Node count, CASE                                               11
  Node count, CASEITEM                                           79
  Node count, CASTPARSE                                           3
  Node count, CCALL                                                         28         35         35         10
  Node count, CCAST                                                                             1604        481
  Node count, CELL                                               24          2          1          1
  Node count, CFILE                                                                               15
  Node count, CFUNC                                                         38         54         57         10
  Node count, CHANGEDET                                                                 1          1
  Node count, CMATH                                                         23         23         23          1
  Node count, COMMENT                                                        9          9          9
  Node count, CONCAT                                             59        184        184
  Node count, COND                                               15        255        251        279        136
  Node count, CONDBOUND                                                      8          8          4          1
  Node count, CONST                                            1159       2580       2421       3863       1136
  Node count, CONSTPOOL                                           1          1          1          1
  Node count, CRESET                                                                              79
  Node count, CRETURN                                                                   1          1
  Node count, CSTMT                                                        439        447        451        138
  Node count, CUSE                                                                                 3
  Node count, DISPLAY                                             7         12         12         12          1
  Node count, DOT                                                20
  Node count, ENUMDTYPE                                           4          4          4          4
  Node count, ENUMITEM                                           21         21         21         21
  Node count, ENUMITEMREF                                        25
  Node count, EQ                                                 40        118        117        141         27
  Node count, EXTEND                                                        16         16          2          1
  Node count, FFLUSH                                              1          1          1          1
  Node count, FINISH                                              5          4          4          4
  Node count, FUNC                                                5
  Node count, FUNCREF                                             9
  Node count, GENFOR                                              2
  Node count, GT                                                  4          1          1          1
  Node count, GTE                                                 4          8          8         18          7
  Node count, GTS                                                            2          2          2          1
  Node count, IF                                                 54         68         74         81         20
  Node count, INITARRAY                                                      1          1          1
  Node count, INITIAL                                             3         13
  Node count, INITITEM                                                      64         64         64
  Node count, JUMPBLOCK                                           1          2          2          2          1
  Node count, JUMPGO                                              1          2          2          2          1
  Node count, JUMPLABEL                                           1          2          2          2          1
  Node count, LOGAND                                             13
  Node count, LOGNOT                                              3
  Node count, LOGOR                                              33
  Node count, LT                                                  7          4          4          4          2
  Node count, LTE                                                            2          2          2
  Node count, LTS                                                            2          2          2          1
  Node count, MEMBERDTYPE                                        56         56         54         54
  Node count, MEMBERSEL                                         240
  Node count, MODDIV                                              1
  Node count, MODDIVS                                                        1          1          1
  Node count, MODULE                                             38          2          2          2
  Node count, MUL                                                 2         16         16        126         59
  Node count, NEGATE                                                                              34         17
  Node count, NEQ                                                42         40         40         45          3
  Node count, NETLIST                                             1          1          1          1
  Node count, NOT                                                 6         10         14         14          3
  Node count, ONEHOT0                                                       12         12         12          2
  Node count, OR                                                  6         42         40        464        124
  Node count, PACKAGE                                             3          2          1          1
  Node count, PACKAGEIMPORT                                       1
  Node count, PACKARRAYDTYPE                                      2          2          2          2
  Node count, PARSEREF                                          282
  Node count, PIN                                               194
  Node count, PORT                                              181
  Node count, RAND                                                2         10         10         10
  Node count, RANGE                                             326          4          5          5
  Node count, REDAND                                              1
  Node count, REDOR                                               1          2          2
  Node count, REFDTYPE                                          113         79         79         75
  Node count, REPLICATE                                          44         34         34
  Node count, SCOPE                                               1          4          3          3
  Node count, SCOPENAME                                                      6          6          6          1
  Node count, SEL                                                          926        851
  Node count, SELBIT                                             65
  Node count, SELEXTRACT                                         28
  Node count, SELMINUS                                            2
  Node count, SENITEM                                            26          5
  Node count, SENTREE                                            26          5
  Node count, SFORMATF                                            7         12         12         12          1
  Node count, SHIFTL                                              6          7          7        408        111
  Node count, SHIFTR                                              5          6          6        553        140
  Node count, SHIFTRS                                             1
  Node count, SIGNED                                              2
  Node count, STOP                                                           6          6          6          1
  Node count, STRUCTDTYPE                                         7          7          6          6
  Node count, SUB                                                47         11         11         31         13
  Node count, TASK                                               13
  Node count, TASKREF                                            14
  Node count, TEXT                                                         503        517        521        145
  Node count, TIME                                                           6          6          6          1
  Node count, TOPSCOPE                                                       1          1          1
  Node count, TRACEDECL                                                    513        513        513
  Node count, TRACEINC                                                                394        394
  Node count, TYPEDEF                                            67
  Node count, TYPETABLE                                           1          1          1          1
  Node count, UNPACKARRAYDTYPE                                    1          2          3          3
  Node count, VAR                                               709        546        539        544        153
  Node count, VARREF                                            976       1756       1646       2633        832
  Node count, VARSCOPE                                                     326        319
  Node count, WHILE                                               3          2          2          2          1
  Node count, WORDSEL                                                                           1208        336
  Node count, XOR                                                 4          2          2          2          1

  Node pairs, ACTIVE_ALWAYS                                                  2
  Node pairs, ACTIVE_ASSIGNPRE                                              21
  Node pairs, ACTIVE_ASSIGNW                                                 2
  Node pairs, ACTIVE_INITIAL                                                 1
  Node pairs, ADD_AND                                             1          1          1         37         18
  Node pairs, ADD_CASTPARSE                                       3
  Node pairs, ADD_CCAST                                                                           58         22
  Node pairs, ADD_CONST                                          15         30         26         15          2
  Node pairs, ADD_EXTEND                                                     6          6
  Node pairs, ADD_MEMBERSEL                                       1
  Node pairs, ADD_MODDIV                                          1
  Node pairs, ADD_MUL                                             2                               12          3
  Node pairs, ADD_OR                                                                               1
  Node pairs, ADD_SEL                                                       10         10
  Node pairs, ADD_SHIFTL                                          2          2          2          2
  Node pairs, ADD_VARREF                                         19         35         29         29          7
  Node pairs, ALWAYS_ASSIGN                                                 27
  Node pairs, ALWAYS_ASSIGNDLY                                               1
  Node pairs, ALWAYS_BEGIN                                       38
  Node pairs, ALWAYS_CCALL                                                   3
  Node pairs, ALWAYS_IF                                           1          7
  Node pairs, ALWAYS_SENTREE                                     26
  Node pairs, AND_ADD                                                                              9          2
  Node pairs, AND_AND                                                                              6          1
  Node pairs, AND_CCAST                                                                           70         27
  Node pairs, AND_CMATH                                                                            6
  Node pairs, AND_COND                                                                             2          1
  Node pairs, AND_CONDBOUND                                                                        4          1
  Node pairs, AND_CONST                                           1          1          1        784        241
  Node pairs, AND_EQ                                                         4          4          4
  Node pairs, AND_FUNCREF                                         1
  Node pairs, AND_MEMBERSEL                                      14
  Node pairs, AND_MUL                                                                             74         36
  Node pairs, AND_NEGATE                                                                          10          5
  Node pairs, AND_NEQ                                                        2          2          2          1
  Node pairs, AND_NOT                                             2          2          6         14          3
  Node pairs, AND_OR                                                                              16          4
  Node pairs, AND_RAND                                                       1          1          1
  Node pairs, AND_SEL                                                       36         24
  Node pairs, AND_SHIFTL                                                                          15          7
  Node pairs, AND_SHIFTR                                                                         295         51
  Node pairs, AND_SUB                                                                              3
  Node pairs, AND_VARREF                                          2          4          8        224        108
  Node pairs, AND_WORDSEL                                                                         65          4
  Node pairs, ARG_CONST                                           6
  Node pairs, ARG_DOT                                             1
  Node pairs, ARG_LOGAND                                          1
  Node pairs, ARG_MEMBERSEL                                       1
  Node pairs, ARG_PARSEREF                                      154
  Node pairs, ARG_REPLICATE                                       2
  Node pairs, ARG_VARREF                                         70
  Node pairs, ARRAYSEL_AND                                                                         7          3
  Node pairs, ARRAYSEL_CONST                                                96        113        177         66
  Node pairs, ARRAYSEL_SEL                                                   8          7
  Node pairs, ARRAYSEL_VARREF                                              108        124        188         71
  Node pairs, ASSIGNDLY_ADD                                       7          7          7          6
  Node pairs, ASSIGNDLY_AND                                       1          1          1          9
  Node pairs, ASSIGNDLY_COND                                      2          3          3          3          1
  Node pairs, ASSIGNDLY_CONST                                    11         25         25         22         14
  Node pairs, ASSIGNDLY_ENUMITEMREF                               3
  Node pairs, ASSIGNDLY_FUNCREF                                   2
  Node pairs, ASSIGNDLY_GT                                        1          1          1          1
  Node pairs, ASSIGNDLY_MEMBERSEL                                 7
  Node pairs, ASSIGNDLY_OR                                        1                                4
  Node pairs, ASSIGNDLY_PARSEREF                                 10
  Node pairs, ASSIGNDLY_REPLICATE                                 5
  Node pairs, ASSIGNDLY_SEL                                                  8          8
  Node pairs, ASSIGNDLY_SELBIT                                    1
  Node pairs, ASSIGNDLY_SHIFTL                                    1
  Node pairs, ASSIGNDLY_SUB                                       3          3          3
  Node pairs, ASSIGNDLY_VARREF                                   49         62         62         55         19
  Node pairs, ASSIGNPOST_VARREF                                             42         24         22         22
  Node pairs, ASSIGNPRE_VARREF                                              42         24         22         22
  Node pairs, ASSIGNW_ADD                                         1
  Node pairs, ASSIGNW_ARRAYSEL                                               2          2          2          1
  Node pairs, ASSIGNW_CONCAT                                      2         22         22
  Node pairs, ASSIGNW_COND                                        7          4          4          2          1
